KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5802107,5902,4.51,1.0775,9.907,0.01,   ,23726.11,1.29,0.6936,0,295.06357,41.07852
5802116,5791,4.42,1.0451,19.798,0.947,   ,836.49,0.379,0.2776,0,295.06598,41.00971
5802147,5520,4.65,0.9701,16.227,0.026,   ,11051.21,1.091,0.628,0,295.07446,41.05121
5802191,6385,4.03,1.2341,1.007,0.009,   ,806.3,0.37,0.2623,0,295.08295,41.07539
5802280,5917,3.93,1.0819,1.416,0.004,   ,900.36,0.594,0.362,0,295.10785,41.09967
5802304,6047,4.69,1.1215,13.542,0.943,   ,1508.24,0.469,0.3378,0,295.11179,41.04638
5802346,5808,4.23,1.05,2.822,0.012,   ,832.5,0.955,0.5408,0,295.1236,41.05296
5802398,6388,4.35,1.2352,0.987,0.006,   ,1002.07,0.807,0.5196,0,295.13742,41.00174
5802426,5327,4.72,0.919,8.207,0.063,   ,8307.7,1.532,0.7507,0,295.14285,41.07536
5802438,5157,4.56,0.8749,10.459,0.024,   ,13308.35,1.216,0.6528,0,295.14722,41.04499
5802784,4464,4.32,0.6902,2.612,0.004,   ,44228.2,1.62,0.7798,0,295.25552,41.01323
5802921,5480,4.59,0.9594,1.091,0.004,   ,26451.53,1.292,0.6516,0,295.29501,41.08122
5802955,6302,4.51,1.205,2.666,0.062,   ,979.3,0.61,0.4201,0,295.30276,41.02173
5803208,6157,4.18,1.1565,4.673,0.046,   ,2168.18,0.598,0.4111,0,295.3634,41.0882
5803334,5593,4.83,0.9898,13.423,0.107,   ,4901.74,0.644,0.4199,0,295.39255,41.06639
